Métrica,Valor
Timeslot Total,72
EPRs Usados,8
Qubits Usados,62
Fidelidade na Camada de Transporte,0.00046340632629188324
Fidelidade na Camada de Enlace,0.000142006657399861
Média de Rotas,2.5
